grb,ra,dec,coorderr,z,beta,beta_err,path_AB,path_raw
070224A,11h55m58s,-13° 20',3',1.9922,,,mag-AB-extcorr-03-05-2023/070224A_magAB_extcorr.txt,mag-03-05-2023/070224A_mag.txt
070306A,09h52m20s,+10° 28',3',1.4959,0.7,0.1,mag-AB-extcorr-03-05-2023/070306A_magAB_extcorr.txt,mag-03-05-2023/070306A_mag.txt
070318A,03h14m10s,-42° 58',3',0.836,1.14,0.02,mag-AB-extcorr-03-05-2023/070318A_magAB_extcorr.txt,mag-03-05-2023/070318A_mag.txt
070411A,07h09m21s,+01° 05',3',2.95,,,mag-AB-extcorr-03-05-2023/070411A_magAB_extcorr.txt,mag-03-05-2023/070411A_mag.txt
070419A,12h10m51s,+39° 54',3',0.97,0.6,0.36,mag-AB-extcorr-03-05-2023/070419A_magAB_extcorr.txt,mag-03-05-2023/070419A_mag.txt
070419B,21h02m52s,-31° 16',3',1.9591,,,mag-AB-extcorr-03-05-2023/070419B_magAB_extcorr.txt,mag-03-05-2023/070419B_mag.txt
070506A,23h08m52s,+10° 44',3',2.31,0.51,0.06,mag-AB-extcorr-03-05-2023/070506A_magAB_extcorr.txt,mag-03-05-2023/070506A_mag.txt
070521A,16h10m41s,+30° 14',3',2.0865,,,mag-AB-extcorr-03-05-2023/070521A_magAB_extcorr.txt,mag-03-05-2023/070521A_mag.txt
070529A,18h55m00s,+20° 38',3',2.4996,,,mag-AB-extcorr-03-05-2023/070529A_magAB_extcorr.txt,mag-03-05-2023/070529A_mag.txt
070611A,00h07m57s,-29° 45',3',2.04,0.95,0.02,mag-AB-extcorr-03-05-2023/070611A_magAB_extcorr.txt,mag-03-05-2023/070611A_mag.txt
070612A,08h05m32s,+37° 16',3',0.671,0.6,0.19,mag-AB-extcorr-03-05-2023/070612A_magAB_extcorr.txt,mag-03-05-2023/070612A_mag.txt
070714B,03h51m25s,+28° 18',3',0.92,0.86,0.1,mag-AB-extcorr-03-05-2023/070714B_magAB_extcorr.txt,mag-03-05-2023/070714B_mag.txt
070721B,02h12m31s,-02° 11',3',3.626,0.88,0.02,mag-AB-extcorr-03-05-2023/070721B_magAB_extcorr.txt,mag-03-05-2023/070721B_mag.txt
070724A,01h51m16s,-18° 37',3',0.457,0.72,0.03,mag-AB-extcorr-03-05-2023/070724A_magAB_extcorr.txt,mag-03-05-2023/070724A_mag.txt
070802A,02h27m24s,-55° 32',3',2.45,1.07,0.31,mag-AB-extcorr-03-05-2023/070802A_magAB_extcorr.txt,mag-03-05-2023/070802A_mag.txt
070810A,12h39m53s,+10° 44',3',2.17,1.01,0.08,mag-AB-extcorr-03-05-2023/070810A_magAB_extcorr.txt,mag-03-05-2023/070810A_mag.txt
071003A,20h07m25s,+10° 58',3',1.6,1.25,0.09,mag-AB-extcorr-03-05-2023/071003A_magAB_extcorr.txt,mag-03-05-2023/071003A_mag.txt
071010A,19h12m24s,-32° 23',3',0.99,0.61,0.12,mag-AB-extcorr-03-05-2023/071010A_magAB_extcorr.txt,mag-03-05-2023/071010A_mag.txt
071010B,10h02m07s,+45° 44',3',0.947,0.68,0.14,mag-AB-extcorr-03-05-2023/071010B_magAB_extcorr.txt,mag-03-05-2023/071010B_mag.txt
071020A,07h58m39s,+32° 52',3',2.145,0.15,0.05,mag-AB-extcorr-03-05-2023/071020A_magAB_extcorr.txt,mag-03-05-2023/071020A_mag.txt
071021A,22h42m33s,+23° 40',3',2.452,,,mag-AB-extcorr-03-05-2023/071021A_magAB_extcorr.txt,mag-03-05-2023/071021A_mag.txt
071025A,23h40m20s,+31° 45',3',5,0.42,0.08,mag-AB-extcorr-03-05-2023/071025A_magAB_extcorr.txt,mag-03-05-2023/071025A_mag.txt
071031A,00h25m50s,-58° 03',3',2.69,0.64,0.08,mag-AB-extcorr-03-05-2023/071031A_magAB_extcorr.txt,mag-03-05-2023/071031A_mag.txt
071112C,02h36m53s,+28° 23',3',0.82,0.63,0.29,mag-AB-extcorr-03-05-2023/071112C_magAB_extcorr.txt,mag-03-05-2023/071112C_mag.txt
071117A,22h20m38s,-63° 26',3',1.331,0.41,0.03,mag-AB-extcorr-03-05-2023/071117A_magAB_extcorr.txt,mag-03-05-2023/071117A_mag.txt
071122A,18h26m20s,+47° 04',3',1.14,1.3,0.6,mag-AB-extcorr-03-05-2023/071122A_magAB_extcorr.txt,mag-03-05-2023/071122A_mag.txt
071227A,03h52m29s,-55° 57',3',0.383,0.92,0.06,mag-AB-extcorr-03-05-2023/071227A_magAB_extcorr.txt,mag-03-05-2023/071227A_mag.txt
080109A,09h09m31s,+33°08',?,0.0064941,,,mag-AB-extcorr-03-05-2023/080109A_magAB_extcorr.txt,mag-03-05-2023/080109A_mag.txt
080129A,07h01m07s,-07° 50',3',4.349,0.69,0.05,mag-AB-extcorr-03-05-2023/080129A_magAB_extcorr.txt,mag-03-05-2023/080129A_mag.txt
080205A,06h32m53s,+62° 46',3',2.72,,,mag-AB-extcorr-03-05-2023/080205A_magAB_extcorr.txt,mag-03-05-2023/080205A_mag.txt
080210A,16h45m05s,+13° 50',3',2.641,0.44,0.32,mag-AB-extcorr-03-05-2023/080210A_magAB_extcorr.txt,mag-03-05-2023/080210A_mag.txt
080310A,14h40m19s,-00° 10',3',2.43,0.42,0.12,mag-AB-extcorr-03-05-2023/080310A_magAB_extcorr.txt,mag-03-05-2023/080310A_mag.txt
080319A,13h45m25s,+44° 05',3',2.0265,0.77,0.02,mag-AB-extcorr-03-05-2023/080319A_magAB_extcorr.txt,mag-03-05-2023/080319A_mag.txt
080319B,14h31m42s,+36° 18',3',0.937,0.5,0.07,mag-AB-extcorr-03-05-2023/080319B_magAB_extcorr.txt,mag-03-05-2023/080319B_mag.txt
080319C,17h15m54s,+55° 25',3',1.95,0.77,0.02,mag-AB-extcorr-03-05-2023/080319C_magAB_extcorr.txt,mag-03-05-2023/080319C_mag.txt
080325A,18h31m35s,+36° 31',3',1.78,,,mag-AB-extcorr-03-05-2023/080325A_magAB_extcorr.txt,mag-03-05-2023/080325A_mag.txt
080330A,11h17m12s,+30° 34',3',1.51,0.42,0.15,mag-AB-extcorr-03-05-2023/080330A_magAB_extcorr.txt,mag-03-05-2023/080330A_mag.txt
080411A,02h32m04s,-71° 20',3',1.03,,,mag-AB-extcorr-03-05-2023/080411A_magAB_extcorr.txt,mag-03-05-2023/080411A_mag.txt
080413A,19h09m10s,-27° 41',3',2.43,0.25,0.07,mag-AB-extcorr-03-05-2023/080413A_magAB_extcorr.txt,mag-03-05-2023/080413A_mag.txt
080413B,21h44m32s,-19° 58',3',1.1,0.25,0.07,mag-AB-extcorr-03-05-2023/080413B_magAB_extcorr.txt,mag-03-05-2023/080413B_mag.txt
080430A,11h01m17s,+51° 41',3',0.767,,,mag-AB-extcorr-03-05-2023/080430A_magAB_extcorr.txt,mag-03-05-2023/080430A_mag.txt
080514B,21h31m17s,+00° 44',17'*6',1.8,0.64,0.03,mag-AB-extcorr-03-05-2023/080514B_magAB_extcorr.txt,mag-03-05-2023/080514B_mag.txt
080516A,08h02m31s,-26° 11',3',3.2,,,mag-AB-extcorr-03-05-2023/080516A_magAB_extcorr.txt,mag-03-05-2023/080516A_mag.txt
080520A,18h40m46s,-55° 00',3',1.545,0.78,0.02,mag-AB-extcorr-03-05-2023/080520A_magAB_extcorr.txt,mag-03-05-2023/080520A_mag.txt
080603A,18h37m31s,+62° 44',3',1.69,0.98,0.04,mag-AB-extcorr-03-05-2023/080603A_magAB_extcorr.txt,mag-03-05-2023/080603A_mag.txt
080603B,11h46m07s,+68° 05',3',2.6893,0.53,0.06,mag-AB-extcorr-03-05-2023/080603B_magAB_extcorr.txt,mag-03-05-2023/080603B_mag.txt
080604A,15h47m53s,+20° 33',3',1.416,,,mag-AB-extcorr-03-05-2023/080604A_magAB_extcorr.txt,mag-03-05-2023/080604A_mag.txt
080605A,17h28m31s,+04° 00',3',1.6403,0.74,0.12,mag-AB-extcorr-03-05-2023/080605A_magAB_extcorr.txt,mag-03-05-2023/080605A_mag.txt
080607A,12h59m52s,+15° 54',3',3.04,1.32,0.07,mag-AB-extcorr-03-05-2023/080607A_magAB_extcorr.txt,mag-03-05-2023/080607A_mag.txt
080707A,02h10m32s,+33° 09',3',1.23,0.71,0.03,mag-AB-extcorr-03-05-2023/080707A_magAB_extcorr.txt,mag-03-05-2023/080707A_mag.txt
080710A,00h33m02s,+19° 30',3',0.85,0.8,0.09,mag-AB-extcorr-03-05-2023/080710A_magAB_extcorr.txt,mag-03-05-2023/080710A_mag.txt
080721A,14h57m53s,-11° 43',3',2.591,0.68,0.02,mag-AB-extcorr-03-05-2023/080721A_magAB_extcorr.txt,mag-03-05-2023/080721A_mag.txt
080804A,21h54m48s,-53° 12',3',2.2045,0.37,0.12,mag-AB-extcorr-03-05-2023/080804A_magAB_extcorr.txt,mag-03-05-2023/080804A_mag.txt
080805A,20h56m55s,-62° 26',3',1.505,0.67,0.03,mag-AB-extcorr-03-05-2023/080805A_magAB_extcorr.txt,mag-03-05-2023/080805A_mag.txt
080810A,23h47m07s,+00° 19',3',3.35,0.51,0.13,mag-AB-extcorr-03-05-2023/080810A_magAB_extcorr.txt,mag-03-05-2023/080810A_mag.txt
080825B,13h57m08s,-68° 57',3',4.3,0.67,0.11,mag-AB-extcorr-03-05-2023/080825B_magAB_extcorr.txt,mag-03-05-2023/080825B_mag.txt
080905A,19h10m39s,-18° 53',3',0.1218,,,mag-AB-extcorr-03-05-2023/080905A_magAB_extcorr.txt,mag-03-05-2023/080905A_mag.txt
080905B,20h06m53s,-62° 34',3',2.374,0.8,0.07,mag-AB-extcorr-03-05-2023/080905B_magAB_extcorr.txt,mag-03-05-2023/080905B_mag.txt
080906A,15h11m34s,-80° 29',3',2.1,0.5,0.15,mag-AB-extcorr-03-05-2023/080906A_magAB_extcorr.txt,mag-03-05-2023/080906A_mag.txt
080913A,04h22m54s,-25° 07',3',6.73,0.79,0.03,mag-AB-extcorr-03-05-2023/080913A_magAB_extcorr.txt,mag-03-05-2023/080913A_mag.txt
080916A,22h25m12s,-57° 01',3',0.689,0.49,0.05,mag-AB-extcorr-03-05-2023/080916A_magAB_extcorr.txt,mag-03-05-2023/080916A_mag.txt
080916C,07h59m31s,-56° 35',10',4.35,0.38,0.1,mag-AB-extcorr-03-05-2023/080916C_magAB_extcorr.txt,mag-03-05-2023/080916C_mag.txt
080928A,06h20m20s,-55° 10',3,1.69,1.08,0.02,mag-AB-extcorr-03-05-2023/080928A_magAB_extcorr.txt,mag-03-05-2023/080928A_mag.txt
081007A,22h39m54s,-40° 08',3,0.53,0.47,0.09,mag-AB-extcorr-03-05-2023/081007A_magAB_extcorr.txt,mag-03-05-2023/081007A_mag.txt
081008A,18h39m57s,-57° 28',3,1.97,0.38,0.23,mag-AB-extcorr-03-05-2023/081008A_magAB_extcorr.txt,mag-03-05-2023/081008A_mag.txt
081028A,08h07m34s,+02° 19',3,3.038,,,mag-AB-extcorr-03-05-2023/081028A_magAB_extcorr.txt,mag-03-05-2023/081028A_mag.txt
081029A,23h06m49s,-68° 10',3,3.85,1,0.01,mag-AB-extcorr-03-05-2023/081029A_magAB_extcorr.txt,mag-03-05-2023/081029A_mag.txt
081109A,22h03m09s,-54° 43',3,0.98,,,mag-AB-extcorr-03-05-2023/081109A_magAB_extcorr.txt,mag-03-05-2023/081109A_mag.txt
081118A,05h30m22s,-43° 18',3,2.58,,,mag-AB-extcorr-03-05-2023/081118A_magAB_extcorr.txt,mag-03-05-2023/081118A_mag.txt
081121A,05h57m03s,-60° 38',3,2.512,,,mag-AB-extcorr-03-05-2023/081121A_magAB_extcorr.txt,mag-03-05-2023/081121A_mag.txt
081203A,15h32m08s,+63° 30',3,2.1,0.67,0.1,mag-AB-extcorr-03-05-2023/081203A_magAB_extcorr.txt,mag-03-05-2023/081203A_mag.txt
081210A,04h41m50s,-11° 16',3,2.0631,,,mag-AB-extcorr-03-05-2023/081210A_magAB_extcorr.txt,mag-03-05-2023/081210A_mag.txt
081221A,01h03m13s,-24° 32',3,2.26,,,mag-AB-extcorr-03-05-2023/081221A_magAB_extcorr.txt,mag-03-05-2023/081221A_mag.txt
081222A,01h31m00s,-34° 08',3,2.77,0.47,0.06,mag-AB-extcorr-03-05-2023/081222A_magAB_extcorr.txt,mag-03-05-2023/081222A_mag.txt
081228A,02h37m52s,+30° 51',3,3.44,1.24,0.29,mag-AB-extcorr-03-05-2023/081228A_magAB_extcorr.txt,mag-03-05-2023/081228A_mag.txt
081230A,02h29m16s,-25° 08',3,2,0.4,0.2,mag-AB-extcorr-03-05-2023/081230A_magAB_extcorr.txt,mag-03-05-2023/081230A_mag.txt
090102A,08h33m02s,+33° 05',3,1.55,0.74,0.22,mag-AB-extcorr-03-05-2023/090102A_magAB_extcorr.txt,mag-03-05-2023/090102A_mag.txt
090113A,02h08m18s,+33° 27',3,1.7493,,,mag-AB-extcorr-03-05-2023/090113A_magAB_extcorr.txt,mag-03-05-2023/090113A_mag.txt
090201A,06h08m07s,-46° 35',3,2.1,,,mag-AB-extcorr-03-05-2023/090201A_magAB_extcorr.txt,mag-03-05-2023/090201A_mag.txt
090205A,14h43m42s,-27° 52',3,4.6497,0.88,0.14,mag-AB-extcorr-03-05-2023/090205A_magAB_extcorr.txt,mag-03-05-2023/090205A_mag.txt
090313A,13h13m35s,+08° 06',3,3.38,0.74,0.4,mag-AB-extcorr-03-05-2023/090313A_magAB_extcorr.txt,mag-03-05-2023/090313A_mag.txt
090323A,12h42m46s,+17° 05',8,3.57,0.65,0.13,mag-AB-extcorr-03-05-2023/090323A_magAB_extcorr.txt,mag-03-05-2023/090323A_mag.txt
090328A,06h03m29s,-41° 57',9,0.736,1.19,0.21,mag-AB-extcorr-03-05-2023/090328A_magAB_extcorr.txt,mag-03-05-2023/090328A_mag.txt
090407A,04h35m50s,-12° 40',3,1.4485,,,mag-AB-extcorr-03-05-2023/090407A_magAB_extcorr.txt,mag-03-05-2023/090407A_mag.txt
090418A,17h57m20s,+33° 25',3,1.608,,,mag-AB-extcorr-03-05-2023/090418A_magAB_extcorr.txt,mag-03-05-2023/090418A_mag.txt
090423A,09h55m35s,+18° 07',3,8.23,0.45,0.13,mag-AB-extcorr-03-05-2023/090423A_magAB_extcorr.txt,mag-03-05-2023/090423A_mag.txt
090424A,12h38m09s,+16° 50',3,0.544,0.55,0.03,mag-AB-extcorr-03-05-2023/090424A_magAB_extcorr.txt,mag-03-05-2023/090424A_mag.txt
090426A,12h36m18s,-32° 59,3,2.61,0.76,0.14,mag-AB-extcorr-03-05-2023/090426A_magAB_extcorr.txt,mag-03-05-2023/090426A_mag.txt
090429B,14h02m49s,+32° 10',3,9.2,0.77,0.18,mag-AB-extcorr-03-05-2023/090429B_magAB_extcorr.txt,mag-03-05-2023/090429B_mag.txt
090510A,22h14m13s,-26° 34,3,1.6187,0.85,0.05,mag-AB-extcorr-03-05-2023/090510A_magAB_extcorr.txt,mag-03-05-2023/090510A_mag.txt
090516A,09h13m05s,-11° 51',3,4.109,0.97,0.02,mag-AB-extcorr-03-05-2023/090516A_magAB_extcorr.txt,mag-03-05-2023/090516A_mag.txt
090519A,09h29m10s,+00° 11',3,3.85,,,mag-AB-extcorr-03-05-2023/090519A_magAB_extcorr.txt,mag-03-05-2023/090519A_mag.txt
090529A,14h09m54s,+24° 26',3,2.63,0.1,0.45,mag-AB-extcorr-03-05-2023/090529A_magAB_extcorr.txt,mag-03-05-2023/090529A_mag.txt
090530A,11h57m35s,+26° 35',3,1.266,0.4,0.3,mag-AB-extcorr-03-05-2023/090530A_magAB_extcorr.txt,mag-03-05-2023/090530A_mag.txt
090618A,19h36m05s,+78° 21',3,0.54,0.71,0.02,mag-AB-extcorr-03-05-2023/090618A_magAB_extcorr.txt,mag-03-05-2023/090618A_mag.txt
090709A,19h19m44s,+60° 44',3,1.8,3.8,0.3,mag-AB-extcorr-03-05-2023/090709A_magAB_extcorr.txt,mag-03-05-2023/090709A_mag.txt
090715B,16h45m23s,+44° 50',3,3,1.84,0.02,mag-AB-extcorr-03-05-2023/090715B_magAB_extcorr.txt,mag-03-05-2023/090715B_mag.txt
090726A,16h35m16s,+72° 52',3,2.71,1.29,0.15,mag-AB-extcorr-03-05-2023/090726A_magAB_extcorr.txt,mag-03-05-2023/090726A_mag.txt
090809A,21h54m35s,-00° 05',3,2.737,,,mag-AB-extcorr-03-05-2023/090809A_magAB_extcorr.txt,mag-03-05-2023/090809A_mag.txt
090812A,23h32m47s,-10° 36',3,2.452,0.58,0.95,mag-AB-extcorr-03-05-2023/090812A_magAB_extcorr.txt,mag-03-05-2023/090812A_mag.txt
090814A,15h58m27s,+25° 36',3,0.696,,,mag-AB-extcorr-03-05-2023/090814A_magAB_extcorr.txt,mag-03-05-2023/090814A_mag.txt
090902B,17h40m00s,+27° 20',6,1.822,0.68,0.11,mag-AB-extcorr-03-05-2023/090902B_magAB_extcorr.txt,mag-03-05-2023/090902B_mag.txt
090926A,23h33m36s,-66° 19',3,2.1062,0.72,0.17,mag-AB-extcorr-03-05-2023/090926A_magAB_extcorr.txt,mag-03-05-2023/090926A_mag.txt
090926B,03h05m16s,-39° 01',3,1.24,,,mag-AB-extcorr-03-05-2023/090926B_magAB_extcorr.txt,mag-03-05-2023/090926B_mag.txt
090927A,22h55m49s,-70° 59',3,1.37,0.41,0.16,mag-AB-extcorr-03-05-2023/090927A_magAB_extcorr.txt,mag-03-05-2023/090927A_mag.txt
091003A,16h46m05s,+36° 38',13,0.8969,,,mag-AB-extcorr-03-05-2023/091003A_magAB_extcorr.txt,mag-03-05-2023/091003A_mag.txt
091018A,02h08m51s,-57° 32',3,0.971,0.57,0.01,mag-AB-extcorr-03-05-2023/091018A_magAB_extcorr.txt,mag-03-05-2023/091018A_mag.txt
091020A,11h42m52s,+50° 58',3,1.71,,,mag-AB-extcorr-03-05-2023/091020A_magAB_extcorr.txt,mag-03-05-2023/091020A_mag.txt
091024A,22h36m50s,+56° 52',3,1.09,0.64,0.29,mag-AB-extcorr-03-05-2023/091024A_magAB_extcorr.txt,mag-03-05-2023/091024A_mag.txt
091029A,04h00m44s,-56° 00',3,2.75,0.49,0.12,mag-AB-extcorr-03-05-2023/091029A_magAB_extcorr.txt,mag-03-05-2023/091029A_mag.txt
091109A,20h37m00s,-44° 11',3,3.076,,,mag-AB-extcorr-03-05-2023/091109A_magAB_extcorr.txt,mag-03-05-2023/091109A_mag.txt
091127A,02h26m17s,-18° 57',3,0.49,0.43,0.1,mag-AB-extcorr-03-05-2023/091127A_magAB_extcorr.txt,mag-03-05-2023/091127A_mag.txt
091208B,01h57m39s,+16° 53',3,1.063,0.75,0.02,mag-AB-extcorr-03-05-2023/091208B_magAB_extcorr.txt,mag-03-05-2023/091208B_mag.txt
100117A,00h45m02s,-01° 36',3,0.92,,,mag-AB-extcorr-03-05-2023/100117A_magAB_extcorr.txt,mag-03-05-2023/100117A_mag.txt
100219A,10h16m53s,-12° 34',3,4.67,0.66,0.13,mag-AB-extcorr-03-05-2023/100219A_magAB_extcorr.txt,mag-03-05-2023/100219A_mag.txt
100302A,13h01m23s,+74° 35',3,4.813,,,mag-AB-extcorr-03-05-2023/100302A_magAB_extcorr.txt,mag-03-05-2023/100302A_mag.txt
100316A,16h48m08s,+71° 50',3,3.155,,,mag-AB-extcorr-03-05-2023/100316A_magAB_extcorr.txt,mag-03-05-2023/100316A_mag.txt
100316B,10h54m00s,-45° 29',3,1.18,0.58,0.09,mag-AB-extcorr-03-05-2023/100316B_magAB_extcorr.txt,mag-03-05-2023/100316B_mag.txt
100316D,07h10m28s,-56° 09',3,0.06,0.94,0.05,mag-AB-extcorr-03-05-2023/100316D_magAB_extcorr.txt,mag-03-05-2023/100316D_mag.txt
100414A,12h14m28s,+20° 27',11,1.368,1.2,0.2,mag-AB-extcorr-03-05-2023/100414A_magAB_extcorr.txt,mag-03-05-2023/100414A_mag.txt
100418A,17h05m30s,+11° 28',3,0.62,0.98,0.09,mag-AB-extcorr-03-05-2023/100418A_magAB_extcorr.txt,mag-03-05-2023/100418A_mag.txt
100424A,13h57m49s,+01° 31',3,2.465,,,mag-AB-extcorr-03-05-2023/100424A_magAB_extcorr.txt,mag-03-05-2023/100424A_mag.txt
100425A,19h56m45s,-26° 26',3,1.755,,,mag-AB-extcorr-03-05-2023/100425A_magAB_extcorr.txt,mag-03-05-2023/100425A_mag.txt
100508A,05h05m00s,-20° 43',3,0.5201,0.4,0.12,mag-AB-extcorr-03-05-2023/100508A_magAB_extcorr.txt,mag-03-05-2023/100508A_mag.txt
100513A,11h18m19s,+03° 36',3,4.772,0.5,0.22,mag-AB-extcorr-03-05-2023/100513A_magAB_extcorr.txt,mag-03-05-2023/100513A_mag.txt
100518A,20h19m13s,-24° 32',3,4,,,mag-AB-extcorr-03-05-2023/100518A_magAB_extcorr.txt,mag-03-05-2023/100518A_mag.txt
100615A,11h48m50s,-19° 30',3,1.398,,,mag-AB-extcorr-03-05-2023/100615A_magAB_extcorr.txt,mag-03-05-2023/100615A_mag.txt
100621A,21h01m14s,-51° 05',3,0.54,0.8,0.1,mag-AB-extcorr-03-05-2023/100621A_magAB_extcorr.txt,mag-03-05-2023/100621A_mag.txt
100724A,12h58m16s,-11° 07',3,1.288,,,mag-AB-extcorr-03-05-2023/100724A_magAB_extcorr.txt,mag-03-05-2023/100724A_mag.txt
100728A,05h08m16s,-14° 20',3,1.567,,,mag-AB-extcorr-03-05-2023/100728A_magAB_extcorr.txt,mag-03-05-2023/100728A_mag.txt
100728B,02h56m13s,+00° 17',3,2.106,0.7,0.18,mag-AB-extcorr-03-05-2023/100728B_magAB_extcorr.txt,mag-03-05-2023/100728B_mag.txt
100814A,01h29m55s,-17° 59',3,1.439,0.47,0.05,mag-AB-extcorr-03-05-2023/100814A_magAB_extcorr.txt,mag-03-05-2023/100814A_mag.txt
