GRB,RA,DEC,Class,Redshift,Beta,Beta_Err
970228A,05h01m57s,+11° 46.4',L,0.695,0.78,0.02
970508A,06h53m28s,+79° 17.4',XRF,0.83,0.9,0.1
971214A,11h56m30s,+65° 12.0',L,3.42,0.87,0.13
980329A,07h02m41s,+38° 50.7',L,3.5,>=3,
980425A,19h34m54s,-52° 49.9',SN-A,0.0085,0.75,0.05
980613A,10h17m46s,+71° 29.9',L,1.096,0.3,1.1
980703A,23h59m07s,+08° 35.6',L,0.966,1.01,0.02
990123A,15h25m29s,+44° 45',L,1.6,0.75,0.07
990510A,13h38m06s,-80° 30',L,1.62,0.35,0.17
990705A,05h09m32s,-72° 09',L,0.842,>=2,
990712A,22h31m50s,-73° 24',L,0.434,0.99,0.02
991208A,16h33m55s,+46° 26',L,0.706,0.75,0.03
991216A,05h19m31s,11° 11',L,1.02,0.57,0.08
000131A,06h13m33s,-51° 56',L,4.5,0.66,0.34
000301C,16h20m22s,+29° 25',IS,2.03,0.7,0.09
000418A,12h25m21s,+20° 05',L,1.118,1.90 ; 0.81,0.15 ; 0
000911A,02h18m42s,+07° 48',L,1.058,0.75,0.26
000926A,17h04m15s,+51° 46',L,2.04,1,0.18
010222A,14h52m12s,+43° 01',L,1.47688,1.07,0.09
010921A,22h55m35s,+40° 56',L,0.45,0.35,0.19
011121A,11h34m25s,-76° 02',L,0.36,0.8,0.15
011211A,11h15m16s,-21° 56',L,2.14,0.41,0.15
020124A,09h33m08s,-11° 35',L,3.198,1.32,0.25
020405A,13h58m10s,-31° 23',L,0.69,1.43,0.08
020813A,19h46m38s,-19° 35',L,1.25,0.85,0.07
020903A,22h49m01s,-20° 56',L,0.25,1.48,0.06
021004A,00h26m56s,+18° 56',L,2.34,0.78,0.1
021211A,08h08m55s,+06° 44',L,1.01,0.69,0.14
030115A,11h18m30s,15° 02',L,2,0.44,
030226A,11h33m05s,+25° 54',L,1.99,0.7,0.03
030323A,11h06m06s,-21° 54',L,3.372,0.89,0.04
030328A,12h10m46s,-09° 22',L,1.52,0.47,0.15
030329A,10h44m50s,+21° 31',SN-A,0.17,0.41,0.17
030429A,12h13m07s,-20° 54,XRF,2.658,0.22,0.24
030528A,17h04m02s,-22° 39',L,0.782,0.8,0.4
031203A,08h02m30s,-39° 51',SN-A,0.105,0.8,0.1
040924A,02h06m19s,+16° 01',SN-C,0.86,0.63,0.48
041006A,00h54m53s,+01° 12',SN-C,0.72,0.36,0.27
041219A,00h24m26s,+62° 50',L,0.3,0.44,0.08
050126A,18h32m27s,+42° 23',L,1.29,0.6,
050215B,11h37m48s,+40° 48',L,2.62,,
050223A,18h05m32s,-62° 30',L,0.5915,<0.80,
050315A,20h25m53s,-42° 35',L,1.949,0.63,
050318A,03h18m43s,-46° 24',L,1.44,1.1,0.1
050319A,10h16m38s,+43° 34',L,3.24,0.74,0.42
050401A,16h31m31s,+02° 11',L,2.8992,0.39,0.05
050406A,02h17m43s,-50° 10',L,2.44,0.82,1.75
050408A,12h01m55s,+10° 52',L,1.24,0.28,0.33
050416A,12h33m54s,+21° 03',L,0.65,0.92,0.3
050502A,13h29m46s,+42° 40',L,3.79,0.76,0.16
050502B,09h30m10s,+17° 00',L,5.2,0.9,0.1
050505A,09h27m08s, +30° 15',L,4.27,0.41,0.06
050525A,18h32m35s,+26° 20',SN-B-XRR,0.61,0.97,0.1
050603A,02h39m55s,-25° 11',L,2.821,0.2,0.1
050709A,23h01m30s,-38° 59',L,0.1606,2.3,0.7
050724A,16h24m51s,-27° 31',SEE,0.258,0.78,0.07
050730A,14h08m16s,-03° 46',L,3.97,0.52,0.05
050801A,13h36m33s,-21° 57',XRR,1.56,1,0.16
050802A ,14h37m09s,27° 48',L,1.7102,0.36,0.26
050803A,23h22m36s,+05° 48',L,3.5,<0.15,
050814A,17h36m49s,+46° 20',L,5.77,0.9,0.5
050820A,22h29m36s,+19° 35',L,2.61,0.72,0.03
050824A,00h48m56s,+22° 36,L,0.83,0.4,0.04
050826A,05h50m55s,-02° 41',L,0.297,,
050904A,00h54m41s,+14° 08',L,6.295,1.31,1.2
050908A,01h21m51s,-12° 58',XRR,3.34,0.4,1.1
050915A,05h26m51s,-28° 02',L,2.5273,<0.44,
050922B,00h23m12s, -05° 36',L,4.5,<0.39,
050922C,21h09m34s,-08° 46',IS,2.2,0.51,0.05
051006A,07h23m19s,+09° 32',-,1.059,<1.30,
051016B,08h48m16s,+13° 39',SEE,0.9364,0.63,
051022A,23h56m00s,+19° 36',-,0.809,<0.10,
051028A ,01h48m39s,47°49',SN-B,3.5,2.1,0.4
051109A,22h01m11s,+40° 50',L,2.346,0.61,0.06
051111A,23h12m38s,+18° 20',L,1.55,0.76,0.07
051221A,21h54m51s,+16° 54',S,0.5465,0.64,0.05
060108A,09h47m58s,+31° 55',L,2,0.54,0.18
060111A,18h24m51s, +37° 36',L,2.32,0.7,
060115A,03h36m11s,+17° 21',L,3.53,0.77,0.03
060116A,05h38m48s,-05° 27',L,6.6,,
060124A,05h08m10s,+69° 43',L,2.3,0.73,0.08
060204B,14h07m11s,+27° 41',L,2.3393,0.47,
060206A,13h31m47s,+35° 04',IS,4.05,0.73,0.05
060210A,03h50m55s,+27° 02',L,3.91,0.37,0.1
060218A,03h21m37s,+16° 52',SN-A,0.0331,0.75,0.05
060223A,03h40m52s,-17° 08',L,4.41,0.9,0.23
060319A,11h45m29s,+59° 59',L,1.172,0.19,
060418A,15h45m41s,-03° 39',L,1.49,0.78,0.09
060502A,16h03m26s,+66° 36',L,1.51,0.91,0.11
060505A,22h07m04s,-27° 49',L,0.089,0.8,0.03
060510B,15h56m34s,+78° 34',L,4.94,4.2,2
060512A,13h03m05s,+41° 13',XRF,0.44,0.68,0.05
060522A,21h31m48s,+02° 53',L,5.11,0.74,
060526A,15h31m23s,+00° 15',L,3.21,0.51,0.32
060602A,09h58m18s,00° 19',L,0.787,,
060604A,22h28m58s,-10° 54',L,2.1357,0.75,
060605A,21h28m35s,-06° 04',L,3.78,1.02 ; 0.54,0.05 ; 0.05
060607A,21h58m51s,-22° 30',SEE,3.07,0.72,0.27
060614A,21h23m27s,-53° 02',SEE,0.125,0.47,0.04
060707A,23h48m19s,-17° 55',L,3.425,0.59,0.02
060708A,00h31m12s,-33° 44',L,1.92,0.88,0.05
060714A,15h11m29s,-06° 33',L,2.71,0.44,0.04
060719A,01h13m49s,-48° 22',L,1.532,<0.13,
060729A,06h21m21s,-62° 21',L,0.54,0.78,0.03
060805A,14h43m41s,+12° 36',IS,2.3633,1.65,0.02
060814A,14h45m23s,+20° 35',SEE,1.9229,<0.201,
060904A,15h50m58s,44° 58',L,2.55,0.52,
060904B,03h52m51s,-00° 43',L,0.7,1.11,0.1
060906A,02h43m00s,+30° 21',L,3.686,0.56,0.02
060908A,02h07m20s,+00° 22',L,1.8836,0.3,0.06
060912A,00h21m09s, +20° 58',SEE,0.937,0.7,0.1
060923A,16h58m30s,12° 23',L,2.6,<0.11,
060923B,15h52m48s,-30° 54',L,1.5094,<0.68,
060926A,17h35m49s,+13° 02',L,3.2,0.82,0.01
060927A,21h58m13s,+05° 21',L,5.46,0.86,0.03
061006A,07h24m22s,-79° 12',SEE,0.4377,0.62,0.2
061007A,03h05m16s,-50° 29',L,1.26,0.78,0.02
061021A,09h40m32s,-21° 56',L,4.6,0.55,0.02
061110A,22h25m13s,-02° 16',L,0.758,0.79,0.02
061110B,21h35m36s,+06° 53',L,3.44,0.73,0.03
061121A,09h49m00s,-13° 11',L,1.31,0.67,0.04
061126A,05h46m30s,+64° 11',L,1.1588,0.82,0.09
061201A,22h07m53s,-74° 36',L,0.111,0.5,0.06
061222A,23h52m58s,+46° 32',L,2.088,<0.361,
061222B,07h01m26s, -25° 51',L,3.355,,
070110A,00h03m38s,-52° 58',L,2.35,1,0.14
070125A,07h51m24s,+31° 08',L,1.55,0.55,0.04
070129A,02h28m03s,+11° 43',L,2.3384,0.58,0.02
070208A,13h11m41s,+61° 58',L,1.17,2.18,0.12
070223A,10h13m49s,+43° 07',L,1.6295,,
070224A,11h55m58s,-13° 20',L,1.9922,0.92,
070306A,09h52m20s,+10° 28',L,1.4959,0.7,0.1
070318A,03h14m10s,-42° 58',L,0.836,1.14,0.02
070411A,07h09m21s,+01° 05',XRR,2.95,0.67,
070419A,12h10m51s,+39° 54',XRF-SN-D,0.97,0.6,0.36
070419B,21h02m52s,-31° 16',L,1.9591,0.25,
070506A,23h08m52s,+10° 44',SEE,2.31,0.51,0.06
070521A,16h10m41s,+30° 14',L,2.0865,<0.45,
070529A,18h55m00s,+20° 38',L,2.4996,1.69,
070611A,00h07m57s,-29° 45',L,2.04,0.95,0.02
070612A,08h05m32s,+37° 16',L,0.671,0.6,0.19
070714B,03h51m25s,+28° 18',SEE,0.92,0.86,0.1
070721B,02h12m31s,-02° 11',L,3.626,0.88,0.02
070724A,01h51m16s,-18° 37',S ,0.457,0.72 ; 0.6,0.03 ; 0
070802A,02h27m24s,-55° 32',L,2.45,1.07,0.31
070810A,12h39m53s,+10° 44',L,2.17,1.01,0.08
071003A,20h07m25s,+10° 58',L,1.6,1.25,0.09
071010A,19h12m24s,-32° 23',L,0.99,0.61,0.12
071010B,10h02m07s,+45° 44',L,0.947,0.68,0.14
071020A,07h58m39s,+32° 52',IS,2.145,0.15,0.05
071021A,22h42m33s,+23° 40',L,2.452,<0.4,
071025A,23h40m20s,+31° 45',XRR,5,0.42,0.08
071031A,00h25m50s,-58° 03',XRF,2.69,0.64,0.08
071112C,02h36m53s,+28° 23',SN-C,0.82,0.63,0.29
071117A,22h20m38s,-63° 26',L,1.331,0.41,0.03
071122A,18h26m20s,+47° 04',L,1.14,1.3,0.6
071227A,03h52m29s,-55° 57',S,0.383,0.92,0.06
080109A,09h09m31s,33°08',XRF/SN-A,0.0064941,,
080129A,07h01m07s,-07° 50',L,4.349,0.69,0.05
080205A,06h32m53s,+62° 46',L,2.72,0.79,
080210A,16h45m05s,+13° 50',L,2.641,0.44,0.32
080310A,14h40m19s,-00° 10',L,2.43,0.42,0.12
080319A,13h45m25s,+44° 05',L,2.0265,0.77,0.02
080319B,14h31m42s,+36° 18',L,0.937,0.5,0.07
080319C,17h15m54s,+55° 25',L,1.95,0.77,0.02
080325A,18h31m35s,+36° 31',L,1.78,0.6,0.65
080330A,11h17m12s,+30° 34',XRF,1.51,0.42,0.15
080411A,02h32m04s,-71° 20',L,1.03,0.87,0.02
080413A,19h09m10s,-27° 41',XRR,2.43,0.25,0.07
080413B,21h44m32s,-19° 58',L,1.1,0.25,0.07
080430A,11h01m17s,+51° 41',L,0.767,<0.62,
080514B,21h31m17s,+00° 44',L,1.8,0.64,0.03
080516A,08h02m31s,-26° 11',IS,3.2,0.59,1.1
080520A,18h40m46s,-55° 00',L,1.545,0.78,0.02
080603A,18h37m31s,+62° 44',L,1.69,0.98,0.04
080603B,11h46m07s,+68° 05',L,2.6893,0.53,0.06
080604A,15h47m53s,+20° 33',L,1.416,0.9,
080605A,17h28m31s,+04° 00',L,1.6403,0.74,0.12
080607A,12h59m52s,+15° 54',L,3.04,1.32,0.07
080707A,02h10m32s,+33° 09',L,1.23,0.71,0.03
080710A,00h33m02s,+19° 30',L,0.85,0.8,0.09
080721A,14h57m53s,-11° 43',L,2.591,0.68,0.02
080804A,21h54m48s,-53° 12',L,2.2045,0.37,0.12
080805A,20h56m55s,-62° 26',L,1.505,0.67,0.03
080810A,23h47m07s,+00° 19',L,3.35,0.51,0.13
080825B,13h57m08s,-68° 57',L,4.3,0.67,0.11
080905A,19h10m39s,-18° 53',S,0.1218,0.51,
080905B,20h06m53s,-62° 34',L,2.374,0.8,0.07
080906A,15h11m34s,-80° 29',L,2.1,0.5,0.15
080913A,04h22m54s,-25° 07',IS,6.695,0.79,0.03
080916A,22h25m12s,-57° 01',L,0.689,0.49,0.05
080916C,07h59m31s,-56° 35',L,4.35,0.38,0.1
080928A,06h20m20s,-55° 10',L,1.69,1.08,0.02
081007A,22h39m54s,-40° 08',SN-B,0.5295,0.47,0.09
081008A,18h39m57s,-57° 28',L,1.9685,0.38,0.23
081028A,08h07m34s,+02° 19',L,3.038,0.5,
081029A,23h06m49s,-68° 10',L,3.85,1,0.01
081109A,22h03m09s,-54° 43',XRR,0.98,<0.4,
081118A,05h30m22s,-43° 18',L,2.58,,
081121A,05h57m03s,-60° 38',L,2.512,0.37,0.12
081203A,15h32m08s,+63° 30',L,2.1,0.67,0.1
081210A,04h41m50s,-11° 16',L,2.0631,,
081221A,01h03m13s,-24° 32',L,2.26,0.89,
081222A,01h31m00s,-34° 08',L,2.77,0.47,0.06
081228A,02h37m52s,+30° 51',IS,3.44,1.24,0.29
081230A,02h29m16s,-25° 08',L,2,0.4,0.2
090102A,08h33m02s,+33° 05',L,1.55,0.74,0.22
090113A,02h08m18s,+33° 27',L,1.7493,<0.3,
090201A,06h08m07s, -46° 35',L,2.1,,
090205A,14h43m42s,-27° 52',IS,4.6497,0.88,0.14
090313A,13h13m35s,+08° 06',XRR,3.38,0.74,0.4
090323A,12h42m46s,+17° 05',L,3.57,0.65,0.13
090328A,06h03m29s,-41° 57',L,0.736,1.19,0.21
090407A,04h35m50s,-12° 40',L,1.4485,<0.4,
090418A,17h57m20s,+33° 25',L,1.608,,
090423A,09h55m35s,+18° 07',IS,8.23,0.45,0.13
090424A,12h38m09s,+16° 50',L,0.544,0.55,0.03
090426A,12h36m18s,-32° 59,S,2.61,0.76,0.14
090429B,14h02m49s, +32° 10',L,9.4,0.77,0.18
090510A,22h14m13s,-26° 34,S,0.903,0.85,0.05
090516A,09h13m05s,-11° 51',L,4.109,0.97,0.02
090519A,09h29m10s,+00° 11',L,3.85,,
090529A,14h09m54s,+24° 26',XRR,2.63,0.1,0.46
090530A,11h57m35s,+26° 35',SEE,1.266,0.4,0.3
090618A,19h36m05s,+78° 21',XRR-SN-C,0.54,0.71,0.02
090709A,19h19m44s,60° 44',L,1.8,3.8,0.3
090715B,16h45m23s,+44° 50',L,3,1.84,0.02
090726A,16h35m16s,+72° 52',XRF,2.71,1.29,0.15
090809A,21h54m35s,-00° 05',L,2.737,0.84,0.06
090812A,23h32m47s,-10° 36',L,2.452,0.58,0.93
090814A,15h58m27s,+25° 36',L,0.696,0.71,0.07
090902B,17h40m00s,+27° 20',L,1.822,0.68,0.11
090926A,23h33m36s,-66° 19',L,2.1062,0.72,0.17
090926B,03h05m16s,-39° 01',L,1.24,0.4,
090927A,22h55m49s,-70° 59',IS/SEE,1.37,0.41,0.16
091003A,16h46m05s,+36° 38',L,0.8969,,
091018A,02h08m51s,-57° 32',L,0.971,0.57,0.01
091020A,11h42m52s,+50° 58',L,1.71,0.23,0.65
091024A,22h36m50s,+56° 52',UL,1.09,0.64,0.29
091029A,04h00m44s,-56° 00',L,2.75,0.49,0.12
091109A,20h37m00s,-44° 11',L,3.076,,
091127A,02h26m17s,-18° 57',SN-B,0.49,0.43,0.1
091208B,01h57m39s,+16° 53',L,1.063,0.75,0.02
100117A,00h45m02s,-01° 36',S,0.92,<0.75,
100219A,10h16m53s,-12° 34',L,4.67,0.6,0.12
100302A,13h01m23s,+74° 35',L,4.813,,
100316A,16h48m08s,+71° 50',L,3.155,,
100316B,10h54m00s,-45° 29',IS,1.18,0.58,0.09
100316D,07h10m28s,-56° 09',UL-SN-A-XRF-VL,0.06,0.94,0.05
100414A,12h14m28s,+20° 27',L,1.368,1.2,0.2
100418A,17h05m30s,+11° 28',L,0.62,0.98,0.09
100424A,13h57m49s,+01° 31',L,2.465,,
100425A,19h56m45s,-26° 26',L,1.755,,
100508A,05h05m00s,-20° 43',L,0.5201,0.4,0.12
100513A,11h18m19s,+03° 36',L,4.772,0.5,0.22
100518A,20h19m13s,-24° 32',L,4,1.9,0.46
100615A,11h48m50s,-19° 30',L,1.398,<0.5,
100621A,21h01m14s,-51° 05',L,0.54,0.8,0.1
